date,open,high,low,close,volume,market_return,vix,bond_yield_10y,dollar_index_change,sp500,nasdaq,sp500_above_ma200,nasdaq_12m_return,vnm_etf_above_ma200,usdvnd_change,vix_lag1,bond_yield_lag1,vnindex_return_lag1,day_of_week_sin,day_of_week_cos,month_sin,month_cos,is_quarter_end,days_before_tet,close_smoothed,sentiment_score,news_volume,dividend_flag,days_to_dividend,days_after_dividend,target_return_1d,target_spread_1d,target_return_2d,target_spread_2d,target_return_3d,target_spread_3d
2020-01-02,66.86783552352698,67.8730239868164,66.77262179859589,67.8730239868164,27278000,0.0,16.540000915527344,4.486999988555908,0.0,6025.990234375,19523.400390625,0.0,0.0,1.0,0.0,16.540000915527344,4.486999988555908,0.0,-0.587785252292473,-0.8090169943749475,0.49999999999999994,0.8660254037844387,0,30.0,67.8730239868164,0.0,0.0,0.0,60.0,60.0,-0.005231415968048571,0.019310614972014313,0.021283454955698763,0.03457342286049265,0.019310601890481307,0.00872373571738811
2020-01-03,66.84749847538635,68.12444284241023,66.81377300921453,67.51795196533203,23408000,0.0,16.540000915527344,4.486999988555908,0.0,6025.990234375,19523.400390625,0.0,0.0,1.0,0.0,16.540000915527344,4.486999988555908,0.0,-0.9510565162951536,0.30901699437494723,0.49999999999999994,0.8660254037844387,0,30.0,67.69628162259032,0.0,0.0,0.0,60.0,60.0,0.02665431071041513,0.03475524198840418,0.024671082553750612,0.008769613211978868,0.03196442641699228,0.014116556363220973
2020-01-06,67.02751808217074,69.34288486446046,66.9962821053439,69.31759643554688,46768000,0.0,16.540000915527344,4.486999988555908,0.0,6025.990234375,19523.400390625,0.0,0.0,1.0,0.0,16.540000915527344,4.486999988555908,0.0,0.0,1.0,0.49999999999999994,0.8660254037844387,0,30.0,68.23582911550459,0.0,0.0,0.0,60.0,60.0,-0.0019317389855327048,0.008541933852993368,0.005172252871468201,0.01375005804383437,0.01572467012620856,0.013213528325298674
2020-01-07,69.44900196622598,69.59975639798446,69.00765007438353,69.1836929321289,34330000,0.0,16.540000915527344,4.486999988555908,0.0,6025.990234375,19523.400390625,0.0,0.0,1.0,0.0,16.540000915527344,4.486999988555908,0.0,0.9510565162951535,0.30901699437494745,0.49999999999999994,0.8660254037844387,0,30.0,68.47303522732159,0.0,0.0,0.0,60.0,60.0,0.007117741475698456,0.013776670976250049,0.017690582700019684,0.013239102816342479,0.024263333496911406,0.01099552468673337
2020-01-08,69.16931180182212,70.01383328257931,69.06071230813146,69.6761245727539,35314000,0.0,16.540000915527344,4.486999988555908,0.0,6025.990234375,19523.400390625,0.0,0.0,1.0,0.0,16.540000915527344,4.486999988555908,0.0,0.5877852522924732,-0.8090169943749473,0.49999999999999994,0.8660254037844387,0,30.0,68.71461719390548,0.0,0.0,0.0,60.0,60.0,0.01049811833205239,0.013145536287488721,0.017024416624902314,0.010917814505602858,0.024903343400212143,0.011465812939999766
2020-01-09,70.51371035496315,70.84844534169663,69.93251531775391,70.4075927734375,33200000,0.0,16.540000915527344,4.486999988555908,0.0,6025.990234375,19523.400390625,0.0,0.0,1.0,0.0,16.540000915527344,4.486999988555908,0.0,-0.587785252292473,-0.8090169943749475,0.49999999999999994,0.8660254037844387,0,30.0,68.99889442460864,0.0,0.0,0.0,60.0,60.0,0.006458496235126452,0.010804388753958307,0.01425556842395441,0.011346694003671632,0.007606682975628447,0.010466389530062856
2020-01-10,70.88761594044897,71.15887253591534,70.39816153236073,70.86231994628906,26258000,0.0,16.540000915527344,4.486999988555908,0.0,6025.990234375,19523.400390625,0.0,0.0,1.0,0.0,16.540000915527344,4.486999988555908,0.0,-0.9510565162951536,0.30901699437494723,0.49999999999999994,0.8660254037844387,0,30.0,69.26817122069227,0.0,0.0,0.0,60.0,60.0,0.007747037973244377,0.011273881681277837,0.001140818766791709,0.010399226167014962,0.007166077415901222,0.006382282213286984
2020-01-13,71.17424616511539,71.48319328541425,70.68429987467893,71.41129302978516,30730000,0.0,16.540000915527344,4.486999988555908,0.0,6025.990234375,19523.400390625,0.0,0.0,1.0,0.0,16.540000915527344,4.486999988555908,0.0,0.0,1.0,0.49999999999999994,0.8660254037844387,0,30.0,69.54039826456403,0.0,0.0,0.0,60.0,60.0,-0.006555434010244208,0.010319282295217284,-0.0005764944330787292,0.006333218528851119,0.007034599601859867,0.007430451462202062
2020-01-14,71.40980138157744,71.54022369151787,70.80331039967703,70.94316101074219,26076000,0.0,16.540000915527344,4.486999988555908,0.0,6025.990234375,19523.400390625,0.0,0.0,1.0,0.0,16.540000915527344,4.486999988555908,0.0,0.9510565162951535,0.30901699437494745,0.49999999999999994,0.8660254037844387,0,30.0,69.69960303177567,0.0,0.0,0.0,60.0,60.0,0.006018392753710158,0.006375009482830495,0.013679710048606993,0.007479482717587972,0.0342024476209588,0.016776249267650752
2020-01-15,71.06365964443332,71.44847959482189,70.99621627063644,71.37012481689453,21550000,0.0,16.540000915527344,4.486999988555908,0.0,6025.990234375,19523.400390625,0.0,0.0,1.0,0.0,16.540000915527344,4.486999988555908,0.0,0.5877852522924732,-0.8090169943749473,0.49999999999999994,0.8660254037844387,0,30.0,69.87121840770041,0.0,0.0,0.0,60.0,60.0,0.007615484319253845,0.007434737547009314,0.02801544690460601,0.01667588722879131,0.029912476448815426,0.013667387888852382
