date,open,high,low,close,volume,market_return,vix,bond_yield_10y,dollar_index_change,sp500,nasdaq,sp500_above_ma200,nasdaq_12m_return,vnm_etf,vnm_etf_above_ma200,usdvnd_change,vix_lag1,bond_yield_lag1,vnindex_return_lag1,day_of_week_sin,day_of_week_cos,month_sin,month_cos,is_quarter_end,days_before_tet,close_smoothed,sentiment_score,news_volume,dividend_flag,days_to_dividend,days_after_dividend,target_return_1d,target_spread_1d,target_return_2d,target_spread_2d,target_return_3d,target_spread_3d
2019-09-18,73830.0,74980.0,73640.0,74850.0,972940,0.0,16.540000915527344,4.486999988555908,0.0,6025.990234375,19523.400390625,0.0,0.0,11.436320304870605,0.0,0.0,16.540000915527344,4.486999988555908,0.0,0.5877852522924732,-0.8090169943749473,-1.0,-1.8369701987210297e-16,0,30,74488.39067722316,0.0,0.0,0.0,60.0,60.0,-0.0008016032064128256,0.011356045424181697,-0.01282565130260521,0.01282565130260521,0.0065464261857047425,0.019372077488309953
2019-09-19,74730.0,74980.0,74130.0,74790.0,725700,0.0,16.540000915527344,4.486999988555908,0.0,6025.990234375,19523.400390625,0.0,0.0,11.436320304870605,0.0,0.0,16.540000915527344,4.486999988555908,0.0,-0.587785252292473,-0.8090169943749475,-1.0,-1.8369701987210297e-16,0,30,74588.76140883146,0.0,0.0,0.0,60.0,60.0,-0.012033694344163659,0.012835940633774568,0.0073539243214333465,0.019387618665597003,0.026741542987030353,0.0266078352720952
2019-09-20,74850.0,74850.0,73890.0,73890.0,1623350,0.0,16.540000915527344,4.486999988555908,0.0,6025.990234375,19523.400390625,0.0,0.0,11.436320304870605,0.0,0.0,16.540000915527344,4.486999988555908,0.0,-0.9510565162951536,0.30901699437494723,-1.0,-1.8369701987210297e-16,0,30,74413.89401335795,0.0,0.0,0.0,60.0,60.0,0.019623765056164567,0.019623765056164567,0.039247530112329135,0.02693192583570172,0.03518744079036405,0.011503586412234403
2019-09-23,74430.0,75700.0,74250.0,75340.0,1560140,0.0,16.540000915527344,4.486999988555908,0.0,6025.990234375,19523.400390625,0.0,0.0,11.436320304870605,0.0,0.0,16.540000915527344,4.486999988555908,0.0,0.0,1.0,-1.0,-1.8369701987210297e-16,0,30,74599.85734714319,0.0,0.0,0.0,60.0,60.0,0.019246084417308202,0.02641359171754712,0.01526413591717547,0.01128218741704274,0.04419962835147332,0.02893549243429785
2019-09-24,75340.0,77210.0,75220.0,76790.0,1340450,0.0,16.540000915527344,4.486999988555908,0.0,6025.990234375,19523.400390625,0.0,0.0,11.436320304870605,0.0,0.0,16.540000915527344,4.486999988555908,0.0,0.9510565162951535,0.30901699437494745,-1.0,-1.8369701987210297e-16,0,30,74967.61675001131,0.0,0.0,0.0,60.0,60.0,-0.003906758692538091,0.011069149628857924,0.024482354473238703,0.028389113165776792,0.025263706211746322,0.013413204844380779
2019-09-25,76430.0,76790.0,75940.0,76490.0,617630,0.0,16.540000915527344,4.486999988555908,0.0,6025.990234375,19523.400390625,0.0,0.0,11.436320304870605,0.0,0.0,16.540000915527344,4.486999988555908,0.0,0.5877852522924732,-0.8090169943749473,-1.0,-1.8369701987210297e-16,0,30,75187.6107767104,0.0,0.0,0.0,60.0,60.0,0.028500457576153746,0.028500457576153746,0.02928487383971761,0.013465812524513008,0.026016472741534843,0.01032814747025755
2019-09-26,76910.0,78730.0,76550.0,78670.0,1613560,0.0,16.540000915527344,4.486999988555908,0.0,6025.990234375,19523.400390625,0.0,0.0,11.436320304870605,0.0,0.0,16.540000915527344,4.486999988555908,0.0,-0.587785252292473,-0.8090169943749475,-1.0,-1.8369701987210297e-16,1,30,75629.95638667284,0.0,0.0,0.0,60.0,60.0,0.0007626795474768018,0.013092665565018431,-0.0024151519003432057,0.010041947375111224,-0.015380704207448836,0.015380704207448836
2019-09-27,78670.0,79330.0,78300.0,78730.0,1183530,0.0,16.540000915527344,4.486999988555908,0.0,6025.990234375,19523.400390625,0.0,0.0,11.436320304870605,0.0,0.0,16.540000915527344,4.486999988555908,0.0,-0.9510565162951536,0.30901699437494723,-1.0,-1.8369701987210297e-16,1,30,75981.79187927507,0.0,0.0,0.0,60.0,60.0,-0.0031754096278419916,0.010034294423980693,-0.016131080909437316,0.01536898259875524,-0.023879080401371777,0.012320589356026928
2019-09-30,78730.0,79090.0,78300.0,78480.0,885490,0.0,16.540000915527344,4.486999988555908,0.0,6025.990234375,19523.400390625,0.0,0.0,11.436320304870605,0.0,0.0,16.540000915527344,4.486999988555908,0.0,0.0,1.0,-1.0,-1.8369701987210297e-16,1,30,76238.4367968066,0.0,0.0,0.0,60.0,60.0,-0.012996941896024464,0.015417940876656473,-0.020769622833843017,0.012359836901121305,-0.005351681957186544,0.027013251783893986
2019-10-01,78360.0,78480.0,77270.0,77460.0,1207380,0.0,16.540000915527344,4.486999988555908,0.0,6025.990234375,19523.400390625,0.0,0.0,11.436320304870605,0.0,0.0,16.540000915527344,4.486999988555908,0.0,0.9510565162951535,0.30901699437494745,-0.8660254037844386,0.5000000000000001,0,30,76353.24252098601,0.0,0.0,0.0,60.0,60.0,-0.007875032274722438,0.012522592305706171,0.0077459333849728895,0.027368964626904208,0.004647560030983733,0.018719339013684482
2019-10-02,77150.0,77340.0,76370.0,76850.0,2070220,0.0,16.540000915527344,4.486999988555908,0.0,6025.990234375,19523.400390625,0.0,0.0,11.436320304870605,0.0,0.0,16.540000915527344,4.486999988555908,0.0,0.5877852522924732,-0.8090169943749473,-0.8660254037844386,0.5000000000000001,0,30,76396.3330058415,0.0,0.0,0.0,60.0,60.0,0.01574495770982433,0.027586206896551724,0.012621990891346779,0.018867924528301886,0.01652569941444372,0.014183474300585556
2019-10-03,76250.0,78060.0,75940.0,78060.0,825310,0.0,16.540000915527344,4.486999988555908,0.0,6025.990234375,19523.400390625,0.0,0.0,11.436320304870605,0.0,0.0,16.540000915527344,4.486999988555908,0.0,-0.587785252292473,-0.8090169943749475,-0.8660254037844386,0.5000000000000001,0,30,76530.53373654788,0.0,0.0,0.0,60.0,60.0,-0.0030745580322828594,0.01857545477837561,0.0007686395080707148,0.01396361772995132,0.0,0.005380476556495004
2019-10-04,78120.0,79210.0,77760.0,77820.0,641540,0.0,16.540000915527344,4.486999988555908,0.0,6025.990234375,19523.400390625,0.0,0.0,11.436320304870605,0.0,0.0,16.540000915527344,4.486999988555908,0.0,-0.9510565162951536,0.30901699437494723,-0.8660254037844386,0.5000000000000001,0,30,76627.88828008718,0.0,0.0,0.0,60.0,60.0,0.0038550501156515036,0.01400668208686713,0.0030840400925212026,0.005397070161912105,-0.012464662040606528,0.01554870213312773
2019-10-07,77700.0,78670.0,77580.0,78120.0,833680,0.0,16.540000915527344,4.486999988555908,0.0,6025.990234375,19523.400390625,0.0,0.0,11.436320304870605,0.0,0.0,16.540000915527344,4.486999988555908,0.0,0.0,1.0,-0.8660254037844386,0.5000000000000001,0,30,76733.92299934673,0.0,0.0,0.0,60.0,60.0,-0.0007680491551459293,0.005376344086021506,-0.016257040450588837,0.015488991295442909,-0.016257040450588837,0.013952892985151049
2019-10-08,77820.0,78240.0,77820.0,78060.0,537440,0.0,16.540000915527344,4.486999988555908,0.0,6025.990234375,19523.400390625,0.0,0.0,11.436320304870605,0.0,0.0,16.540000915527344,4.486999988555908,0.0,0.9510565162951535,0.30901699437494745,-0.8660254037844386,0.5000000000000001,0,30,76823.06117211423,0.0,0.0,0.0,60.0,60.0,-0.015500896746092748,0.015500896746092748,-0.015500896746092748,0.01396361772995132,-0.007686395080707148,0.008583141173456316
2019-10-09,77940.0,77940.0,76730.0,76850.0,663150,0.0,16.540000915527344,4.486999988555908,0.0,6025.990234375,19523.400390625,0.0,0.0,11.436320304870605,0.0,0.0,16.540000915527344,4.486999988555908,0.0,0.5877852522924732,-0.8090169943749473,-0.8660254037844386,0.5000000000000001,0,30,76824.78156031584,0.0,0.0,0.0,60.0,60.0,0.0,0.014183474300585556,0.007937540663630449,0.008718282368249838,0.012621990891346779,0.008588158750813273
2019-10-10,76670.0,77760.0,76670.0,76850.0,442150,0.0,16.540000915527344,4.486999988555908,0.0,6025.990234375,19523.400390625,0.0,0.0,11.436320304870605,0.0,0.0,16.540000915527344,4.486999988555908,0.0,-0.587785252292473,-0.8090169943749475,-0.8660254037844386,0.5000000000000001,0,30,76826.31766236339,0.0,0.0,0.0,60.0,60.0,0.007937540663630449,0.008718282368249838,0.012621990891346779,0.008588158750813273,0.010279765777488615,0.014183474300585556
2019-10-11,76850.0,77460.0,76790.0,77460.0,631310,0.0,16.540000915527344,4.486999988555908,0.0,6025.990234375,19523.400390625,0.0,0.0,11.436320304870605,0.0,0.0,16.540000915527344,4.486999988555908,0.0,-0.9510565162951536,0.30901699437494723,-0.8660254037844386,0.5000000000000001,0,30,76863.26277351532,0.0,0.0,0.0,60.0,60.0,0.004647560030983733,0.008520526723470178,0.0023237800154918666,0.014071778982700749,0.018719339013684482,0.02026852569067906
2019-10-14,78060.0,78060.0,77400.0,77820.0,586040,0.0,16.540000915527344,4.486999988555908,0.0,6025.990234375,19523.400390625,0.0,0.0,11.436320304870605,0.0,0.0,16.540000915527344,4.486999988555908,0.0,0.0,1.0,-0.8660254037844386,0.5000000000000001,0,30,76916.82319730677,0.0,0.0,0.0,60.0,60.0,-0.002313030069390902,0.01400668208686713,0.01400668208686713,0.020174762271909535,0.018632742225648934,0.017090722179388333
2019-10-15,77760.0,78360.0,77270.0,77640.0,1165130,0.0,16.540000915527344,4.486999988555908,0.0,6025.990234375,19523.400390625,0.0,0.0,11.436320304870605,0.0,0.0,16.540000915527344,4.486999988555908,0.0,0.9510565162951535,0.30901699437494745,-0.8660254037844386,0.5000000000000001,0,30,76955.8099712423,0.0,0.0,0.0,60.0,60.0,0.0163575476558475,0.02022153529108707,0.02099433281813498,0.017130345182895416,0.032715095311695,0.01172076249356002
2019-10-16,77640.0,79210.0,77640.0,78910.0,1321580,0.0,16.540000915527344,4.486999988555908,0.0,6025.990234375,19523.400390625,0.0,0.0,11.436320304870605,0.0,0.0,16.540000915527344,4.486999988555908,0.0,0.5877852522924732,-0.8090169943749473,-0.8660254037844386,0.5000000000000001,0,30,77057.52990467413,0.0,0.0,0.0,60.0,60.0,0.004562159422126473,0.016854644531745025,0.01609428462805728,0.011532125205930808,0.02445824356862248,0.027499683183373463
2019-10-17,78910.0,80120.0,78790.0,79270.0,1409580,0.0,16.540000915527344,4.486999988555908,0.0,6025.990234375,19523.400390625,0.0,0.0,11.436320304870605,0.0,0.0,16.540000915527344,4.486999988555908,0.0,-0.587785252292473,-0.8090169943749475,-0.8660254037844386,0.5000000000000001,0,30,77168.99299497016,0.0,0.0,0.0,60.0,60.0,0.011479752743787057,0.011479752743787057,0.01980572726125899,0.027374795004415288,0.011479752743787057,0.01602119338968084
2019-10-18,79570.0,80480.0,79570.0,80180.0,1116920,0.0,16.540000915527344,4.486999988555908,0.0,6025.990234375,19523.400390625,0.0,0.0,11.436320304870605,0.0,0.0,16.540000915527344,4.486999988555908,0.0,-0.9510565162951536,0.30901699437494723,-0.8660254037844386,0.5000000000000001,0,30,77316.13679389686,0.0,0.0,0.0,60.0,60.0,0.008231479171863308,0.02706410576203542,0.0,0.015839361436767275,-0.0014966325767024195,0.011349463706660016
2019-10-21,80180.0,81990.0,79820.0,80840.0,2006630,0.0,16.540000915527344,4.486999988555908,0.0,6025.990234375,19523.400390625,0.0,0.0,11.436320304870605,0.0,0.0,16.540000915527344,4.486999988555908,0.0,0.0,1.0,-0.8660254037844386,0.5000000000000001,0,30,77483.51987248765,0.0,0.0,0.0,60.0,60.0,-0.008164275111331025,0.0157100445324097,-0.009648688767936665,0.011256803562592775,-0.007422068283028204,0.008906481939633844
2019-10-22,81090.0,81330.0,80060.0,80180.0,1398920,0.0,16.540000915527344,4.486999988555908,0.0,6025.990234375,19523.400390625,0.0,0.0,11.436320304870605,0.0,0.0,16.540000915527344,4.486999988555908,0.0,0.9510565162951535,0.30901699437494745,-0.8660254037844386,0.5000000000000001,0,30,77608.24946425161,0.0,0.0,0.0,60.0,60.0,-0.0014966325767024195,0.011349463706660016,0.0007483162883512097,0.008979795460214518,0.015091045148416063,0.015091045148416063
2019-10-23,80180.0,80300.0,79390.0,80060.0,847820,0.0,16.540000915527344,4.486999988555908,0.0,6025.990234375,19523.400390625,0.0,0.0,11.436320304870605,0.0,0.0,16.540000915527344,4.486999988555908,0.0,0.5877852522924732,-0.8090169943749473,-0.8660254037844386,0.5000000000000001,0,30,77718.88236703507,0.0,0.0,0.0,60.0,60.0,0.0022483137646764927,0.008993255058705971,0.016612540594554085,0.015113664751436422,0.011366475143642269,0.013614788908318761
2019-10-24,80000.0,80720.0,80000.0,80240.0,520890,0.0,16.540000915527344,4.486999988555908,0.0,6025.990234375,19523.400390625,0.0,0.0,11.436320304870605,0.0,0.0,16.540000915527344,4.486999988555908,0.0,-0.587785252292473,-0.8090169943749475,-0.8660254037844386,0.5000000000000001,0,30,77830.03949507042,0.0,0.0,0.0,60.0,60.0,0.014332003988035892,0.01507976071784646,0.009097706879361914,0.013584247258225324,0.011340977068793619,0.009845463609172482
2019-10-25,80240.0,81390.0,80180.0,81390.0,816560,0.0,16.540000915527344,4.486999988555908,0.0,6025.990234375,19523.400390625,0.0,0.0,11.436320304870605,0.0,0.0,16.540000915527344,4.486999988555908,0.0,-0.9510565162951536,0.30901699437494723,-0.8660254037844386,0.5000000000000001,0,30,77983.63396063441,0.0,0.0,0.0,60.0,60.0,-0.005160339107998526,0.013392308637424745,-0.002948765204570586,0.009706352131711513,-0.01855264774542327,0.028258999877134785
2019-10-28,81390.0,81930.0,80840.0,80970.0,558360,0.0,16.540000915527344,4.486999988555908,0.0,6025.990234375,19523.400390625,0.0,0.0,11.436320304870605,0.0,0.0,16.540000915527344,4.486999988555908,0.0,0.0,1.0,-0.8660254037844386,0.5000000000000001,0,30,78109.89334450074,0.0,0.0,0.0,60.0,60.0,0.002223045572434235,0.009756700012350253,-0.01346177596640731,0.028405582314437447,-0.028405582314437447,0.023959491169568976
2019-10-29,80910.0,81630.0,80840.0,81150.0,520280,0.0,16.540000915527344,4.486999988555908,0.0,6025.990234375,19523.400390625,0.0,0.0,11.436320304870605,0.0,0.0,16.540000915527344,4.486999988555908,0.0,0.9510565162951535,0.30901699437494745,-0.8660254037844386,0.5000000000000001,0,30,78236.00689492328,0.0,0.0,0.0,60.0,60.0,-0.015650030807147258,0.028342575477510783,-0.030560690080098582,0.02390634627233518,-0.012692544670363525,0.020825631546518793
2019-10-30,81330.0,81570.0,79270.0,79880.0,1301690,0.0,16.540000915527344,4.486999988555908,0.0,6025.990234375,19523.400390625,0.0,0.0,11.436320304870605,0.0,0.0,16.540000915527344,4.486999988555908,0.0,0.5877852522924732,-0.8090169943749473,-0.8660254037844386,0.5000000000000001,0,30,78303.00288161743,0.0,0.0,0.0,60.0,60.0,-0.01514772158237356,0.0242864296444667,0.0030045067601402104,0.021156735102653982,-0.0053830746119178765,0.01815222834251377
2019-10-31,79880.0,79880.0,77940.0,78670.0,2550480,0.0,16.540000915527344,4.486999988555908,0.0,6025.990234375,19523.400390625,0.0,0.0,11.436320304870605,0.0,0.0,16.540000915527344,4.486999988555908,0.0,-0.587785252292473,-0.8090169943749475,-0.8660254037844386,0.5000000000000001,0,30,78317.71162163571,0.0,0.0,0.0,60.0,60.0,0.018431422397356043,0.021482140587263252,0.009914834117198424,0.018431422397356043,-0.006228549637727215,0.01614338375492564
2019-11-01,78790.0,80480.0,78790.0,80120.0,969370,0.0,16.540000915527344,4.486999988555908,0.0,6025.990234375,19523.400390625,0.0,0.0,11.436320304870605,0.0,0.0,16.540000915527344,4.486999988555908,0.0,-0.9510565162951536,0.30901699437494723,-0.5000000000000004,0.8660254037844384,0,30,78388.82587496252,0.0,0.0,0.0,60.0,60.0,-0.00836245631552671,0.018097853220169744,-0.024213679480778832,0.015851223165252122,-0.017348976535197205,0.01510234648027958
2019-11-04,80480.0,80480.0,79030.0,79450.0,1407970,0.0,16.540000915527344,4.486999988555908,0.0,6025.990234375,19523.400390625,0.0,0.0,11.436320304870605,0.0,0.0,16.540000915527344,4.486999988555908,0.0,0.0,1.0,-0.5000000000000004,0.8660254037844384,0,30,78430.08917718439,0.0,0.0,0.0,60.0,60.0,-0.015984896161107615,0.015984896161107615,-0.009062303335431088,0.015229704216488357,-0.016740088105726872,0.00843297671491504
