date,sentiment_score,news_volume
2026-06-11,0.12733489274978638,1
2026-06-10,-0.01680004596710205,1
2026-06-09,0.06344582140445709,1
2026-06-07,-0.6706674098968506,1
2026-06-06,0.14892767369747162,3
2026-06-03,-0.01379295252263546,1
2026-06-02,-0.006480101495981216,1
2026-05-30,-0.45744118094444275,3
2026-05-29,-0.2732798159122467,2
2026-05-28,-0.15781894326210022,2
2026-05-27,0.17230848968029022,1
2026-05-26,0.23187774419784546,1
2026-05-23,-0.21336835622787476,1
2026-05-22,0.40763169527053833,1
