date,open,high,low,close,volume,market_return,vix,bond_yield_10y,dollar_index_change,sp500,nasdaq,sp500_above_ma200,nasdaq_12m_return,vnm_etf_above_ma200,usdvnd_change,vix_lag1,bond_yield_lag1,vnindex_return_lag1,day_of_week_sin,day_of_week_cos,month_sin,month_cos,is_quarter_end,days_before_tet,close_smoothed,sentiment_score,news_volume,dividend_flag,days_to_dividend,days_after_dividend,target_return_1d,target_spread_1d,target_return_2d,target_spread_2d,target_return_3d,target_spread_3d
2020-01-02,205.3158032372665,208.33470850149027,204.8391371751135,208.3247833251953,12077100,0.0,16.540000915527344,4.486999988555908,0.0,6025.990234375,19523.400390625,0.0,0.0,1.0,0.0,16.540000915527344,4.486999988555908,0.0,-0.587785252292473,-0.8090169943749475,0.49999999999999994,0.8660254037844387,0,30.0,208.3247833251953,0.0,0.0,0.0,60.0,60.0,-0.0052912327773998735,0.01644578636804931,0.013442690360412632,0.029840759607317528,0.015635358472597335,0.013490331160690464
2020-01-03,205.77262467099823,208.940483432474,205.51441855073767,207.2224884033203,11188400,0.0,16.540000915527344,4.486999988555908,0.0,6025.990234375,19523.400390625,0.0,0.0,1.0,0.0,16.540000915527344,4.486999988555908,0.0,-0.9510565162951536,0.30901699437494723,0.49999999999999994,0.8660254037844387,0,30.0,207.77609968137526,0.0,0.0,0.0,60.0,60.0,0.018833575972312857,0.029999493912814416,0.02103790771687666,0.013562091342934289,0.0313892687422504,0.017395911441220793
2020-01-06,205.2661472847003,211.30397297299496,205.0874031935413,211.12522888183597,17058900,0.0,16.540000915527344,4.486999988555908,0.0,6025.990234375,19523.400390625,0.0,0.0,1.0,0.0,16.540000915527344,4.486999988555908,0.0,0.0,1.0,0.49999999999999994,0.8660254037844387,0,30.0,208.89063601269967,0.0,0.0,0.0,60.0,60.0,0.002163583726086099,0.013311390263116772,0.012323595399724776,0.017074340551271282,0.026810919072818663,0.009877733243540557
2020-01-07,211.3436905514798,213.09147610558128,210.2811057895453,211.5820159912109,14912400,0.0,16.540000915527344,4.486999988555908,0.0,6025.990234375,19523.400390625,0.0,0.0,1.0,0.0,16.540000915527344,4.486999988555908,0.0,0.9510565162951535,0.30901699437494745,0.49999999999999994,0.8660254037844387,0,30.0,209.56416291490635,0.0,0.0,0.0,60.0,60.0,0.010138077095022081,0.017037478539968665,0.024594123900504087,0.009856408079422256,0.023467574733134336,0.011546075086937363
2020-01-08,211.5224493922504,214.73997942961384,211.13515537272028,213.72705078125,13475000,0.0,16.540000915527344,4.486999988555908,0.0,6025.990234375,19523.400390625,0.0,0.0,1.0,0.0,16.540000915527344,4.486999988555908,0.0,0.5877852522924732,-0.8090169943749473,0.49999999999999994,0.8660254037844387,0,30.0,210.4000764247697,0.0,0.0,0.0,60.0,60.0,0.01431096117775803,0.009757485934762045,0.01319571842737136,0.011430194889932103,0.031084509141834946,0.01282406171128827
2020-01-09,216.03095261005296,216.86513717856823,214.779698486692,216.7856903076172,12642800,0.0,16.540000915527344,4.486999988555908,0.0,6025.990234375,19523.400390625,0.0,0.0,1.0,0.0,16.540000915527344,4.486999988555908,0.0,-0.587785252292473,-0.8090169943749475,0.49999999999999994,0.8660254037844387,0,30.0,211.47232144289177,0.0,0.0,0.0,60.0,60.0,-0.0010995077378358553,0.011268925731276764,0.01653688918495021,0.012643126419927207,0.0034813169908047763,0.017178193100769006
2020-01-10,217.6794240685626,218.35471484237715,215.91177299869705,216.54733276367188,12119400,0.0,16.540000915527344,4.486999988555908,0.0,6025.990234375,19523.400390625,0.0,0.0,1.0,0.0,16.540000915527344,4.486999988555908,0.0,-0.9510565162951536,0.30901699437494723,0.49999999999999994,0.8660254037844387,0,30.0,212.2056927382014,0.0,0.0,0.0,60.0,60.0,0.017655809622083303,0.01265704293657409,0.004585866924809145,0.017197101446878194,0.014170449291082937,0.007062246104486117
2020-01-13,218.0766777515335,220.43023261072588,217.6893837221355,220.3706512451172,14463400,0.0,16.540000915527344,4.486999988555908,0.0,6025.990234375,19523.400390625,0.0,0.0,1.0,0.0,16.540000915527344,4.486999988555908,0.0,0.0,1.0,0.49999999999999994,0.8660254037844387,0,30.0,213.24283514804608,0.0,0.0,0.0,60.0,60.0,-0.012843185852914073,0.016898740501726718,-0.0034248911056624226,0.006939719734031444,-0.0006309975667851784,0.010094205762823053
2020-01-14,220.07270383095607,220.8373666247612,217.11338017517343,217.54039001464844,13288900,0.0,16.540000915527344,4.486999988555908,0.0,6025.990234375,19523.400390625,0.0,0.0,1.0,0.0,16.540000915527344,4.486999988555908,0.0,0.9510565162951535,0.30901699437494745,0.49999999999999994,0.8660254037844387,0,30.0,213.73058065168217,0.0,0.0,0.0,60.0,60.0,0.009540829392328268,0.007030007425950289,0.0123710722664467,0.01022553419898596,0.014060099488472925,0.00803430363556748
2020-01-15,219.0796583372905,220.1422280098775,218.6129174526304,219.61590576171875,10036500,0.0,16.540000915527344,4.486999988555908,0.0,6025.990234375,19523.400390625,0.0,0.0,1.0,0.0,16.540000915527344,4.486999988555908,0.0,0.5877852522924732,-0.8090169943749473,0.49999999999999994,0.8660254037844387,0,30.0,214.33518951712503,0.0,0.0,0.0,60.0,60.0,0.0028034952046684805,0.010128896129085737,0.004476560000911441,0.007958374145603957,0.001311424336756261,0.014695909019218568
