date,close,high,low,open,volume,rsi_14,MACD_12_26_9,volatility_20,close_lag1,volume_change,intraday_return,target_return
2023-08-29,66234.8046875,66405.95405361756,65207.90849079457,66320.37937055879,4199801,69.79309728747377,777.3054027310936,0.020714135552515122,66662.6640625,-0.30408109496429103,-0.0012903225806452083,-0.005168219885594028
2023-08-30,66577.0859375,67176.10856161632,65464.6153498554,65892.48865279563,2659700,70.94046583679734,922.6390660491452,0.019486553642498013,66234.8046875,-0.3667080892642294,0.010389610389610449,-0.0038560411311053928
2023-08-31,66577.0859375,67518.40720396851,65978.06331338367,66320.36195573586,4386000,70.94046583679734,1025.9900664715533,0.01281824599195716,66577.0859375,0.6490581644546378,0.0038709677419354782,0.008997567218667984
2023-09-05,68545.3125,68887.61118913858,66833.81905430711,67176.11774344569,6839901,76.8138319110208,1252.2804043640936,0.01407900221139028,66577.0859375,0.5594849521203831,0.020382165605095565,-5.043424751186075e-08
2023-09-06,68459.734375,68545.30904296874,68031.86103515625,68545.30904296874,2280401,76.09368779574793,1408.4756573640698,0.013202668710725405,68545.3125,-0.6666032154558963,-0.0012484394506865485,-0.0012500243721254582
2023-09-07,68031.859375,68459.73270440252,67261.68738207547,68374.15803852201,3726700,72.43706903224799,1480.6673723086133,0.01323581499931872,68459.734375,0.6342301200534468,-0.005006257822277882,-0.003773560595116499
2023-09-08,68459.734375,68545.30904296874,67689.56236328125,67775.13703125,2774901,73.79328341749331,1554.4866091192089,0.012174620240373388,68031.859375,-0.2553999516998954,0.010101010101010206,-2.4402628788572187e-08
2023-09-11,68031.859375,69401.05402908805,66405.94072327044,68459.73270440252,4234900,70.07980814160672,1560.474767770007,0.012377148654729293,68459.734375,0.5261445363276023,-0.006249999999999991,-0.006289359903838917
2023-09-12,68716.453125,69058.75177070362,67004.95989648195,67603.98252646327,2708500,72.46715485208983,1601.9946240602949,0.012442876999921868,68031.859375,-0.3604335403433375,0.016455696202531577,-0.008717346704231962
2023-09-13,67689.5546875,68716.45058667826,67347.25605444059,68117.42797882427,2507600,64.19309457789826,1534.350252930919,0.013131622426543107,68716.453125,-0.07417389699095445,-0.006281407035175851,-0.007585183114891464
2023-09-14,67946.2890625,68459.73709068011,67090.5423488665,67176.11702022985,2660100,65.26100764023094,1484.3472883374634,0.012825043942751533,67689.5546875,0.06081512202903183,0.011464968152866186,-6.407090895135876e-08
2023-09-15,68031.859375,69486.62869496855,67603.98604559748,67946.2847091195,5614800,65.62895494526921,1435.081659657837,0.012844567849153605,67946.2890625,1.110747716251269,0.0012594458438286707,-0.005031407006704732
2023-09-18,67518.4140625,68288.58608602661,67347.26472393853,67689.56340106147,1499600,61.424897802252964,1339.1704252546187,0.013094241471776092,68031.859375,-0.7329201396309752,-0.0025284450063211682,-0.005069708491761835
2023-09-19,67518.4140625,67518.4140625,66234.79402328897,67176.11538537705,2571703,61.42489780225297,1248.7650943090266,0.013000473844513485,67518.4140625,0.714925980261403,0.005095541401273999,-0.0063370955273156625
2023-09-20,67004.96875,67432.84211366539,66748.24473180076,67090.54342273308,2403202,57.17709292643492,1122.745165143002,0.013089221756634928,67518.4140625,-0.06552117410136393,-0.0012755102040817277,-0.002554433182164106
2023-09-21,66748.234375,67004.9583533654,66149.21175881411,66833.80903445513,2577902,55.12433384351007,990.7365506665665,0.01311946447321861,67004.96875,0.07269467984796951,-0.001280409731113999,-0.011538370476257928
2023-09-22,66320.3671875,67004.96452620967,64865.59784274193,65978.06851814516,4361903,51.787385079553616,841.8886975791393,0.013180301685178532,66748.234375,0.6920360044718534,0.005188067444876873,-0.0038710330671330806
2023-09-25,66405.9375,67176.10945554124,65635.76554445876,66063.63885309278,2795503,52.40788257201014,722.5019578658685,0.012787163454760567,66320.3671875,-0.35910931536074964,0.005181347150259125,-1.7933144532439113e-08
2023-09-26,65122.31640625,66748.23494990144,65036.74174605782,66405.93630913273,2634600,43.38720038979907,518.3345735991752,0.013642510322176666,66405.9375,-0.057557799079450134,-0.01932989690721657,0.00262832612641745
